bhsa_node,ref,sentence,text_full,lxx,lxx_tm,esv,esv_TAM,esv_verse,niv,niv_TAM,niv_verse
226137,Isaiah 41:5,קָרְב֖וּ ,קָרְב֖וּ,ἤγγισαν,aorist indc,they have drawn near,PRES.PERF.IND,The coastlands have seen and are afraid ; the ends of the earth tremble ; they have drawn near and come .,They approach,PRES..IND,The islands have seen it and fear ; the ends of the earth tremble . They approach and come forward ;
226267,Isaiah 41:14,אֲנִ֤י עֲזַרְתִּיךְ֙ ,עֲזַרְתִּיךְ֙,ἐβοήθησά,aorist indc,helps,PRES..IND,"Fear not , you worm Jacob , you men of Israel ! I am the one who helps you , declares the Lord ; your Redeemer is the Holy One of Israel .",will help,FUT..IND,"Do not be afraid , O worm Jacob , O little Israel , for I myself will help you , ” declares the LORD , your Redeemer , the Holy One of Israel ."
226275,Isaiah 41:15,הִנֵּ֣ה שַׂמְתִּ֗יךְ לְמֹורַג֙ חָר֣וּץ חָדָ֔שׁ בַּ֖עַל פִּֽיפִיֹּ֑ות ,שַׂמְתִּ֗יךְ,ἐποίησά,aorist indc,I make,PRES..IND,"Behold , I make of you a threshing sledge , new , sharp , and having teeth ; you shall thresh the mountains and crush them , and you shall make the hills like chaff ;",I will make,FUT..IND,"“ See , I will make you into a threshing-sledge , new and sharp , with many teeth . You will thresh the mountains and crush them , and reduce the hills to chaff ."
226322,Isaiah 41:17,לְשֹׁונָ֖ם בַּצָּמָ֣א נָשָׁ֑תָּה ,נָשָׁ֑תָּה,ἐξηράνθη,aorist indc,is parched,PRES..IND,"When the poor and needy seek water , and there is none , and their tongue is parched with thirst , I the Lord will answer them ; I the God of Israel will not forsake them .",are parched,PRES..IND,"“ The poor and needy search for water , but there is none ; their tongues are parched with thirst . But I the LORD will answer them ; I , the God of Israel , will not forsake them ."
226533,Isaiah 42:1,בְּחִירִ֖י רָצְתָ֣ה נַפְשִׁ֑י ,רָצְתָ֣ה,προσεδέξατο,aorist indc,delights,PRES..IND,"Behold my servant , whom I uphold , my chosen , in whom my soul delights ; I have put my Spirit upon him ; he will bring forth justice to the nations .",delight,PRES..IND,"“ Here is my servant , whom I uphold , my chosen one in whom I delight ; I will put my Spirit on him and he will bring justice to the nations ."
226790,Isaiah 42:17,נָסֹ֤גוּ אָחֹור֙ ,נָסֹ֤גוּ,ἀπεστράφησαν,aorist indc,They are turned,PRES..IND,"They are turned back and utterly put to shame , who trust in carved idols , who say to metal images , “ You are our gods . ”",will be turned back,FUT..IND,"But those who trust in idols , who say to images , ‘ You are our gods , ’ will be turned back in utter shame ."
226986,Isaiah 43:3,נָתַ֤תִּי כָפְרְךָ֙ מִצְרַ֔יִם כּ֥וּשׁ וּסְבָ֖א תַּחְתֶּֽיךָ׃ ,נָתַ֤תִּי,ἐποίησά,aorist indc,I give,PRES..IND,"For I am the Lord your God , the Holy One of Israel , your Savior . I give Egypt as your ransom , Cush and Seba in exchange for you .",I give,PRES..IND,"For I am the LORD , your God , the Holy One of Israel , your Saviour ; I give Egypt for your ransom , Cush and Seba in your stead ."
226995,Isaiah 43:4,מֵאֲשֶׁ֨ר יָקַ֧רְתָּ בְעֵינַ֛י ,יָקַ֧רְתָּ,ἐγένου,aorist indc,you are precious,PRES..IND,"Because you are precious in my eyes , and honored , and I love you , I give men in return for you , peoples in exchange for your life .",you are precious,PRES..IND,"Since you are precious and honoured in my sight , and because I love you , I will give men in exchange for you , and people in exchange for your life ."
227001,Isaiah 43:4,וַאֲנִ֣י אֲהַבְתִּ֑יךָ ,אֲהַבְתִּ֑יךָ,ἠγάπησα,aorist indc,love,PRES..IND,"Because you are precious in my eyes , and honored , and I love you , I give men in return for you , peoples in exchange for your life .",love,PRES..IND,"Since you are precious and honoured in my sight , and because I love you , I will give men in exchange for you , and people in exchange for your life ."
227069,Isaiah 43:9,כָּֽל־הַגֹּויִ֞ם נִקְבְּצ֣וּ יַחְדָּ֗ו ,נִקְבְּצ֣וּ,συνήχθησαν,aorist indc,gather,PRES..IND,"All the nations gather together , and the peoples assemble . Who among them can declare this , and show us the former things ? Let them bring their witnesses to prove them right , and let them hear and say , It is true .",gather,PRES..IND,"All the nations gather together and the peoples assemble . Which of them foretold this and proclaimed to us the former things ? Let them bring in their witnesses to prove they were right , so that others may hear and say , “ It is true . ”"
227207,Isaiah 43:17,דָּעֲכ֖וּ ,דָּעֲכ֖וּ,ἐσβέσθησαν,aorist indc,they are extinguished,PRES..IND,"who brings forth chariot and horse , army and warrior ; they lie down , they cannot rise , they are extinguished , quenched like a wick :",extinguished,,"who drew out the chariots and horses , the army and reinforcements together , and they lay there , never to rise again , extinguished , snuffed out like a wick :"
227245,Isaiah 43:20,כִּֽי־נָתַ֨תִּי בַמִּדְבָּ֜ר מַ֗יִם נְהָרֹות֙ בִּֽישִׁימֹ֔ן לְהַשְׁקֹ֖ות עַמִּ֥י בְחִירִֽי׃ ,נָתַ֨תִּי,ἔδωκα,aorist indc,I give,PRES..IND,"The wild beasts will honor me , the jackals and the ostriches , for I give water in the wilderness , rivers in the desert , to give drink to my chosen people ,",I provide,PRES..IND,"The wild animals honour me , the jackals and the owls , because I provide water in the desert and streams in the wasteland , to give drink to my people , my chosen ,"
227533,Isaiah 44:12,וּפָעַל֙ בַּפֶּחָ֔ם ,פָעַל֙,εἰργάσατο,aorist indc,works,PRES..IND,"The ironsmith takes a cutting tool and works it over the coals . He fashions it with hammers and works it with his strong arm . He becomes hungry , and his strength fails ; he drinks no water and is faint .",works,PRES..IND,"The blacksmith takes a tool and works with it in the coals ; he shapes an idol with hammers , he forges it with the might of his arm . He gets hungry and loses his strength ; he drinks no water and grows faint ."
227559,Isaiah 44:13,חָרַ֣שׁ עֵצִים֮ נָ֣טָה קָו֒ ,נָ֣טָה,ἔστησεν,aorist indc,stretches,PRES..IND,"The carpenter stretches a line ; he marks it out with a pencil . He shapes it with planes and marks it with a compass . He shapes it into the figure of a man , with the beauty of a man , to dwell in a house .",measures,PRES..IND,"The carpenter measures with a line and makes an outline with a marker ; he roughs it out with chisels and marks it with compasses . He shapes it in the form of man , of man in all his glory , that it may dwell in a shrine ."
227600,Isaiah 44:14,לִכְרָת־לֹ֣ו אֲרָזִ֔ים וַיִּקַּ֤ח תִּרְזָה֙ וְאַלֹּ֔ון וַיְאַמֶּץ־לֹ֖ו בַּעֲצֵי־יָ֑עַר נָטַ֥ע אֹ֖רֶן ,נָטַ֥ע,ἐφύτευσεν,aorist indc,He plants,PRES..IND,"He cuts down cedars , or he chooses a cypress tree or an oak and lets it grow strong among the trees of the forest . He plants a cedar and the rain nourishes it .",planted,PAST..IND,"He cut down cedars , or perhaps took a cypress or oak . He let it grow among the trees of the forest , or planted a pine , and the rain made it grow ."
227619,Isaiah 44:15,וְאָ֣פָה לָ֑חֶם ,אָ֣פָה,ἔπεψαν,aorist indc,bakes,PRES..IND,Then it becomes fuel for a man . He takes a part of it and warms himself ; he kindles a fire and bakes bread . Also he makes a god and worships it ; he makes it an idol and falls down before it .,bakes,PRES..IND,"It is man’s fuel for burning ; some of it he takes and warms himself , he kindles a fire and bakes bread . But he also fashions a god and worships it ; he makes an idol and bows down to it ."
227632,Isaiah 44:16,חֶצְיֹו֙ שָׂרַ֣ף בְּמֹו־אֵ֔שׁ עַל־חֶצְיֹו֙ ,שָׂרַ֣ף,κατέκαυσαν,aorist indc,he burns,PRES..IND,"Half of it he burns in the fire . Over the half he eats meat ; he roasts it and is satisfied . Also he warms himself and says , “ Aha , I am warm , I have seen the fire ! ”",he burns,PRES..IND,"Half of the wood he burns in the fire ; over it he prepares his meal , he roasts his meat and eats his fill . He also warms himself and says , “ Ah ! I am warm ; I see the fire . ”"
227648,Isaiah 44:16,הֶאָ֔ח חַמֹּותִ֖י ,חַמֹּותִ֖י,ἐθερμάνθην,aorist indc,I am warm,PRES..IND,"Half of it he burns in the fire . Over the half he eats meat ; he roasts it and is satisfied . Also he warms himself and says , “ Aha , I am warm , I have seen the fire ! ”",I am warm,PRES..IND,"Half of the wood he burns in the fire ; over it he prepares his meal , he roasts his meat and eats his fill . He also warms himself and says , “ Ah ! I am warm ; I see the fire . ”"
227649,Isaiah 44:16,רָאִ֥יתִי אֽוּר׃ ,רָאִ֥יתִי,εἶδον,aorist indc,I have seen,PRES.PERF.IND,"Half of it he burns in the fire . Over the half he eats meat ; he roasts it and is satisfied . Also he warms himself and says , “ Aha , I am warm , I have seen the fire ! ”",I see,PRES..IND,"Half of the wood he burns in the fire ; over it he prepares his meal , he roasts his meat and eats his fill . He also warms himself and says , “ Ah ! I am warm ; I see the fire . ”"
227672,Isaiah 44:18,לֹ֥א יָדְע֖וּ ,יָדְע֖וּ,ἔγνωσαν,aorist indc,They know,PRES..IND,"They know not , nor do they discern , for he has shut their eyes , so that they cannot see , and their hearts , so that they cannot understand .",They know,PRES..IND,"They know nothing , they understand nothing ; their eyes are plastered over so that they cannot see , and their minds closed so that they cannot understand ."
227677,Isaiah 44:18,כִּ֣י טַ֤ח מֵֽרְאֹות֙ עֵֽינֵיהֶ֔ם מֵהַשְׂכִּ֖יל לִבֹּתָֽם׃ ,טַ֤ח,ἀπημαυρώθησαν,aorist indc,he has shut,PRES.PERF.IND,"They know not , nor do they discern , for he has shut their eyes , so that they cannot see , and their hearts , so that they cannot understand .",are plastered over,PRES..IND,"They know nothing , they understand nothing ; their eyes are plastered over so that they cannot see , and their minds closed so that they cannot understand ."
227879,Isaiah 45:1,כֹּה־אָמַ֣ר יְהוָה֮ לִמְשִׁיחֹו֮ לְכֹ֣ורֶשׁ אֲשֶׁר־הֶחֱזַ֣קְתִּי בִֽימִינֹ֗ו לְרַד־לְפָנָיו֙ גֹּויִ֔ם וּמָתְנֵ֥י מְלָכִ֖ים אֲפַתֵּ֑חַ לִפְתֹּ֤חַ לְפָנָיו֙ דְּלָתַ֔יִם וּשְׁעָרִ֖ים לֹ֥א יִסָּגֵֽרוּ׃ ,הֶחֱזַ֣קְתִּי,ἐκράτησα,aorist indc,I have grasped,PRES.PERF.IND,"Thus says the Lord to his anointed , to Cyrus , whose right hand I have grasped , to subdue nations before him and to loose the belts of kings , to open doors before him that gates may not be closed :",I take hold,PRES..IND,"“ This is what the LORD says to his anointed , to Cyrus , whose right hand I take hold of to subdue nations before him and to strip kings of their armour , to open doors before him so that gates will not be shut :"
228095,Isaiah 45:13,אָמַ֖ר יְהוָ֥ה צְבָאֹֽות׃ פ ,אָמַ֖ר,εἶπεν,aorist indc,says,PRES..IND,"I have stirred him up in righteousness , and I will make all his ways level ; he shall build my city and set my exiles free , not for price or reward , ” says the Lord of hosts .",says,PRES..IND,"I will raise up Cyrus in my righteousness : I will make all his ways straight . He will rebuild my city and set my exiles free , but not for a price or reward , says the LORD Almighty . ”"
228226,Isaiah 45:20,לֹ֣א יָדְע֗וּ הַנֹּֽשְׂאִים֙ אֶת־עֵ֣ץ פִּסְלָ֔ם וּמִתְפַּלְלִ֔ים אֶל־אֵ֖ל לֹ֥א יֹושִֽׁיעַ׃ ,יָדְע֗וּ,ἔγνωσαν,aorist indc,They have knowledge,PRES..IND,"“ Assemble yourselves and come ; draw near together , you survivors of the nations ! They have no knowledge who carry about their wooden idols , and keep on praying to a god that cannot save .",Ignorant,,"“ Gather together and come ; assemble , you fugitives from the nations . Ignorant are those who carry about idols of wood , who pray to gods that cannot save ."
228323,Isaiah 46:1,כָּרַ֥ע בֵּל֙ ,כָּרַ֥ע,ἔπεσε,aorist indc,bows down,PRES..IND,Bel bows down ; Nebo stoops ; their idols are on beasts and livestock ; these things you carry are borne as burdens on weary beasts .,bows down,PRES..IND,"Bel bows down , Nebo stoops low ; their idols are borne by beasts of burden . The images that are carried about are burdensome , a burden for the weary ."
228327,Isaiah 46:1,הָיוּ֙ עֲצַבֵּיהֶ֔ם לַחַיָּ֖ה וְלַבְּהֵמָ֑ה נְשֻׂאֹתֵיכֶ֣ם עֲמוּסֹ֔ות מַשָּׂ֖א לַעֲיֵפָֽה׃ ,הָיוּ֙,ἐγένετο,aorist indc,are,PRES..IND,Bel bows down ; Nebo stoops ; their idols are on beasts and livestock ; these things you carry are borne as burdens on weary beasts .,are,PRES..IND,"Bel bows down , Nebo stoops low ; their idols are borne by beasts of burden . The images that are carried about are burdensome , a burden for the weary ."
228353,Isaiah 46:2,וְנַפְשָׁ֖ם בַּשְּׁבִ֥י הָלָֽכָה׃ ס ,הָלָֽכָה,ἤχθησαν,aorist indc,go,PRES..IND,"They stoop ; they bow down together ; they cannot save the burden , but themselves go into captivity .",they go off,PRES..IND,"They stoop and bow down together ; unable to rescue the burden , they themselves go off into captivity ."
228505,Isaiah 46:13,קֵרַ֤בְתִּי צִדְקָתִי֙ ,קֵרַ֤בְתִּי,ἤγγισα,aorist indc,I bring near,PRES..IND,"I bring near my righteousness ; it is not far off , and my salvation will not delay ; I will put salvation in Zion , for Israel my glory . ”",I am bringing near,PRES.PROG.IND,"I am bringing my righteousness near , it is not far away ; and my salvation will not be delayed . I will grant salvation to Zion , my splendour to Israel ."
228785,Isaiah 47:15,אִ֤ישׁ לְעֶבְרֹו֙ תָּע֔וּ ,תָּע֔וּ,ἐπλανήθη,aorist indc,they wander about,PRES..IND,"Such to you are those with whom you have labored , who have done business with you from your youth ; they wander about , each in his own direction ; there is no one to save you .",goes on,PRES..IND,That is all they can do for you — these you have laboured with and trafficked with since childhood . Each of them goes on in his error ; there is not one that can save you .
228886,Isaiah 48:6,הִשְׁמַעְתִּ֤יךָ חֲדָשֹׁות֙ מֵעַ֔תָּה וּנְצֻרֹ֖ות ,הִשְׁמַעְתִּ֤יךָ,ἐποίησα,aorist indc,I announce,PRES..IND,"“ You have heard ; now see all this ; and will you not declare it ? From this time forth I announce to you new things , hidden things that you have not known .",I will tell,FUT..IND,"You have heard these things ; look at them all . Will you not admit them ? “ From now on I will tell you of new things , of hidden things unknown to you ."
229442,Isaiah 49:18,כֻּלָּ֖ם נִקְבְּצ֣וּ ,נִקְבְּצ֣וּ,συνήχθησαν,aorist indc,gather,PRES..IND,"Lift up your eyes around and see ; they all gather , they come to you . As I live , declares the Lord , you shall put them all on as an ornament ; you shall bind them on as a bride does .",gather,PRES..IND,"Lift up your eyes and look around ; all your sons gather and come to you . As surely as I live , ” declares the LORD , “ you will wear them all as ornaments ; you will put them on , like a bride ."
229443,Isaiah 49:18,בָֽאוּ־לָ֑ךְ ,בָֽאוּ,ἤλθοσαν,aorist indc,they come,PRES..IND,"Lift up your eyes around and see ; they all gather , they come to you . As I live , declares the Lord , you shall put them all on as an ornament ; you shall bind them on as a bride does .",come,PRES..IMPV,"Lift up your eyes and look around ; all your sons gather and come to you . As surely as I live , ” declares the LORD , “ you will wear them all as ornaments ; you will put them on , like a bride ."
229839,Isaiah 50:11,מִיָּדִי֙ הָיְתָה־זֹּ֣את לָכֶ֔ם ,הָיְתָה,ἐγένετο,aorist indc,have,PRES..IND,"Behold , all you who kindle a fire , who equip yourselves with burning torches ! Walk by the light of your fire , and by the torches that you have kindled ! This you have from my hand : you shall lie down in torment .",shall receive,PRES..MOD,"But now , all you who light fires and provide yourselves with flaming torches , go , walk in the light of your fires and of the torches you have set ablaze . This is what you shall receive from my hand : You will lie down in torment ."
229876,Isaiah 51:3,כִּֽי־נִחַ֨ם יְהוָ֜ה צִיֹּ֗ון ,נִחַ֨ם,παρεκάλεσα,aorist indc,comforts,PRES..IND,"For the Lord comforts Zion ; he comforts all her waste places and makes her wilderness like Eden , her desert like the garden of the Lord ; joy and gladness will be found in her , thanksgiving and the voice of song .",will comfort,FUT..IND,"The LORD will surely comfort Zion and will look with compassion on all her ruins ; he will make her deserts like Eden , her wastelands like the garden of the LORD . Joy and gladness will be found in her , thanksgiving and the sound of singing ."
229879,Isaiah 51:3,נִחַם֙ כָּל־חָרְבֹתֶ֔יהָ ,נִחַם֙,παρεκάλεσα,aorist indc,he comforts,PRES..IND,"For the Lord comforts Zion ; he comforts all her waste places and makes her wilderness like Eden , her desert like the garden of the Lord ; joy and gladness will be found in her , thanksgiving and the voice of song .",will look with compassion on,FUT..IND,"The LORD will surely comfort Zion and will look with compassion on all her ruins ; he will make her deserts like Eden , her wastelands like the garden of the LORD . Joy and gladness will be found in her , thanksgiving and the sound of singing ."
229951,Isaiah 51:6,כִּֽי־שָׁמַ֜יִם כֶּעָשָׁ֤ן נִמְלָ֨חוּ֙ ,נִמְלָ֨חוּ֙,ἐστερεώθη,aorist indc,vanish,PRES..IND,"Lift up your eyes to the heavens , and look at the earth beneath ; for the heavens vanish like smoke , the earth will wear out like a garment , and they who dwell in it will die in like manner ; but my salvation will be forever , and my righteousness will never be dismayed .",will vanish,FUT..IND,"Lift up your eyes to the heavens , look at the earth beneath ; the heavens will vanish like smoke , the earth will wear out like a garment and its inhabitants die like flies . But my salvation will last forever , my righteousness will never fail ."
230112,Isaiah 51:13,וַתְּפַחֵ֨ד תָּמִ֜יד כָּל־הַיֹּ֗ום מִפְּנֵי֙ חֲמַ֣ת הַמֵּצִ֔יק כַּאֲשֶׁ֥ר כֹּונֵ֖ן לְהַשְׁחִ֑ית ,כֹּונֵ֖ן,ἐβουλεύσατο,aorist indc,sets himself,PRES..IND,"and have forgotten the Lord , your Maker , who stretched out the heavens and laid the foundations of the earth , and you fear continually all the day because of the wrath of the oppressor , when he sets himself to destroy ? And where is the wrath of the oppressor ?",is bent on,PRES..IND,"that you forget the LORD your Maker , who stretched out the heavens and laid the foundations of the earth , that you live in constant terror every day because of the wrath of the oppressor , who is bent on destruction ? For where is the wrath of the oppressor ?"
230189,Isaiah 51:17,יְר֣וּשָׁלִַ֔ם אֲשֶׁ֥ר שָׁתִ֛ית מִיַּ֥ד יְהוָ֖ה אֶת־כֹּ֣וס חֲמָתֹ֑ו אֶת־קֻבַּ֜עַת כֹּ֧וס הַתַּרְעֵלָ֛ה שָׁתִ֖ית מָצִֽית׃ ,מָצִֽית,ἐξεκένωσας,aorist indc,have drunk,PRES..IND,"Wake yourself , wake yourself , stand up , O Jerusalem , you who have drunk from the hand of the Lord the cup of his wrath , who have drunk to the dregs the bowl , the cup of staggering .",you have drained,PRES.PERF.IND,"Awake , awake ! Rise up , O Jerusalem , you who have drunk from the hand of the LORD the cup of his wrath , you who have drained to its dregs the goblet that makes men stagger ."
230373,Isaiah 52:5,כִּֽי־לֻקַּ֥ח עַמִּ֖י חִנָּ֑ם ,לֻקַּ֥ח,ἐλήμφθη,aorist indc,are taken away,PRES..IND,"Now therefore what have I here , ” declares the Lord , “ seeing that my people are taken away for nothing ? Their rulers wail , ” declares the Lord , “ and continually all the day my name is despised .",have been taken away,PRES.PERF.IND,"“ And now what do I have here ? ” declares the LORD . “ For my people have been taken away for nothing , and those who rule them mock , ” declares the LORD . “ And all day long my name is constantly blasphemed ."
230423,Isaiah 52:8,קֹ֥ול צֹפַ֛יִךְ נָ֥שְׂאוּ קֹ֖ול ,נָ֥שְׂאוּ,ὑψώθη,aorist indc,they lift up,PRES..IND,The voice of your watchmen — they lift up their voice ; together they sing for joy ; for eye to eye they see the return of the Lord to Zion .,lift up,PRES..IMPV,"Listen ! Your watchmen lift up their voices ; together they shout for joy . When the LORD returns to Zion , they will see it with their own eyes ."
230551,Isaiah 53:1,וּזְרֹ֥ועַ יְהוָ֖ה עַל־מִ֥י נִגְלָֽתָה׃ ,נִגְלָֽתָה,ἀπεκαλύφθη,aorist indc,has been revealed,PRES..IND,Who has believed what he has heard from us ? And to whom has the arm of the Lord been revealed ?,has been revealed,PRES..IND,Who has believed our message and to whom has the arm of the LORD been revealed ?
230626,Isaiah 53:5,וּבַחֲבֻרָתֹ֖ו נִרְפָּא־לָֽנוּ׃ ,נִרְפָּא,ἰάθημεν,aorist indc,are healed,PRES..IND,"But he was wounded for our transgressions ; he was crushed for our iniquities ; upon him was the chastisement that brought us peace , and with his stripes we are healed .",are healed,PRES..IND,"But he was pierced for our transgressions , he was crushed for our iniquities ; the punishment that brought us peace was upon him , and by his wounds we are healed ."
230795,Isaiah 54:1,אָמַ֥ר יְהוָֽה׃ ,אָמַ֥ר,εἶπεν,aorist indc,says,PRES..IND,"“ Sing , O barren one , who did not bear ; break forth into singing and cry aloud , you who have not been in labor ! For the children of the desolate one will be more than the children of her who is married , ” says the Lord .",says,PRES..IND,"“ Sing , O barren woman , you who never bore a child ; burst into song , shout for joy , you who were never in labour ; because more are the children of the desolate woman than of her who has a husband , ” says the LORD ."
230874,Isaiah 54:6,אָמַ֥ר אֱלֹהָֽיִךְ׃ ,אָמַ֥ר,εἶπεν,aorist indc,says,PRES..IND,"For the Lord has called you like a wife deserted and grieved in spirit , like a wife of youth when she is cast off , says your God .",says,PRES..IND,"The LORD will call you back as if you were a wife deserted and distressed in spirit — a wife who married young , only to be rejected , ” says your God ."
230897,Isaiah 54:8,אָמַ֥ר גֹּאֲלֵ֖ךְ יְהוָֽה׃ ס ,אָמַ֥ר,εἶπεν,aorist indc,says,PRES..IND,"In overflowing anger for a moment I hid my face from you , but with everlasting love I will have compassion on you , ” says the Lord , your Redeemer .",says,PRES..IND,"In a surge of anger I hid my face from you for a moment , but with everlasting kindness I will have compassion on you , ” says the LORD your Redeemer ."
230943,Isaiah 54:10,אָמַ֥ר מְרַחֲמֵ֖ךְ יְהוָֽה׃ ס ,אָמַ֥ר,εἶπεν,aorist indc,says,PRES..IND,"For the mountains may depart and the hills be removed , but my steadfast love shall not depart from you , and my covenant of peace shall not be removed , ” says the Lord , who has compassion on you .",says,PRES..IND,"Though the mountains be shaken and the hills be removed , yet my unfailing love for you will not be shaken nor my covenant of peace be removed , ” says the LORD , who has compassion on you ."
231261,Isaiah 55:11,כִּ֤י אִם־עָשָׂה֙ אֶת־אֲשֶׁ֣ר חָפַ֔צְתִּי ,חָפַ֔צְתִּי,ἠθέλησα,aorist indc,I purpose,PRES..IND,"so shall my word be that goes out from my mouth ; it shall not return to me empty , but it shall accomplish that which I purpose , and shall succeed in the thing for which I sent it .",I desire,PRES..IND,"so is my word that goes out from my mouth : It will not return to me empty , but will accomplish what I desire and achieve the purpose for which I sent it ."
231532,Isaiah 56:11,כֻּלָּם֙ לְדַרְכָּ֣ם פָּנ֔וּ אִ֥ישׁ לְבִצְעֹ֖ו מִקָּצֵֽהוּ׃ ,פָּנ֔וּ,ἐξηκολούθησαν,aorist indc,have turned,PRES.PERF.IND,"The dogs have a mighty appetite ; they never have enough . But they are shepherds who have no understanding ; they have all turned to their own way , each to his own gain , one and all .",turn,PRES..IND,"They are dogs with mighty appetites ; they never have enough . They are shepherds who lack understanding ; they all turn to their own way , each seeks his own gain ."
231680,Isaiah 57:8,אָהַ֥בְתְּ מִשְׁכָּבָ֖ם ,אָהַ֥בְתְּ,ἠγάπησας,aorist indc,you have loved,PRES.PERF.IND,"Behind the door and the doorpost you have set up your memorial ; for , deserting me , you have uncovered your bed , you have gone up to it , you have made it wide ; and you have made a covenant for yourself with them , you have loved their bed , you have looked on nakedness .",you love,PRES..IND,"Behind your doors and your doorposts you have put your pagan symbols . Forsaking me , you uncovered your bed , you climbed into it and opened it wide ; you made a pact with those whose beds you love , and you looked on their nakedness ."
231877,Isaiah 57:19,אָמַ֥ר יְהוָ֖ה ,אָמַ֥ר,εἶπεν,aorist indc,says,PRES..IND,"creating the fruit of the lips . Peace , peace , to the far and to the near , ” says the Lord , “ and I will heal him .",says,PRES..IND,"creating praise on the lips of the mourners in Israel . Peace , peace , to those far and near , ” says the LORD . “ And I will heal them . ”"
231900,Isaiah 57:21,אָמַ֥ר אֱלֹהַ֖י ,אָמַ֥ר,εἶπεν,aorist indc,says,PRES..IND,"There is no peace , ” says my God , “ for the wicked . ”",says,PRES..IND,"“ There is no peace , ” says my God , “ for the wicked . ”"
231954,Isaiah 58:3,וְלֹ֣א רָאִ֔יתָ ,רָאִ֔יתָ,εἶδες,aorist indc,you see,PRES..IND,"‘ Why have we fasted , and you see it not ? Why have we humbled ourselves , and you take no knowledge of it ? ’ Behold , in the day of your fast you seek your own pleasure , and oppress all your workers .",you have seen,PRES.PERF.IND,"‘ Why have we fasted , ’ they say , ‘ and you have not seen it ? Why have we humbled ourselves , and you have not noticed ? ’ “ Yet on the day of your fasting , you do as you please and exploit all your workers ."
232356,Isaiah 59:9,עַל־כֵּ֗ן רָחַ֤ק מִשְׁפָּט֙ מִמֶּ֔נּוּ ,רָחַ֤ק,ἀπέστη,aorist indc,is far,PRES..IND,"Therefore justice is far from us , and righteousness does not overtake us ; we hope for light , and behold , darkness , and for brightness , but we walk in gloom .",is far,PRES..IND,"So justice is far from us , and righteousness does not reach us . We look for light , but all is darkness ; for brightness , but we walk in deep shadows ."
232426,Isaiah 59:12,וְחַטֹּאותֵ֖ינוּ עָ֣נְתָה בָּ֑נוּ ,עָ֣נְתָה,ἀντέστησαν,aorist indc,testify,PRES..IND,"For our transgressions are multiplied before you , and our sins testify against us ; for our transgressions are with us , and we know our iniquities :",testify,PRES..IND,"For our offences are many in your sight , and our sins testify against us . Our offences are ever with us , and we acknowledge our iniquities :"
232433,Isaiah 59:12,וַעֲוֹנֹתֵ֖ינוּ יְדַֽעֲנֽוּם׃ ,יְדַֽעֲנֽוּם,ἔγνωμεν,aorist indc,we know,PRES..IND,"For our transgressions are multiplied before you , and our sins testify against us ; for our transgressions are with us , and we know our iniquities :",we acknowledge,PRES..IND,"For our offences are many in your sight , and our sins testify against us . Our offences are ever with us , and we acknowledge our iniquities :"
232456,Isaiah 59:14,וְהֻסַּ֤ג אָחֹור֙ מִשְׁפָּ֔ט ,הֻסַּ֤ג,ἀπεστήσαμεν,aorist indc,is turned,PRES..IND,"Justice is turned back , and righteousness stands far away ; for truth has stumbled in the public squares , and uprightness cannot enter .",is driven,PRES..IND,"So justice is driven back , and righteousness stands at a distance ; truth has stumbled in the streets , honesty cannot enter ."
232594,Isaiah 59:21,אָמַ֣ר יְהוָ֔ה ,אָמַ֣ר,εἶπεν,aorist indc,says,PRES..IND,"“ And as for me , this is my covenant with them , ” says the Lord : “ My Spirit that is upon you , and my words that I have put in your mouth , shall not depart out of your mouth , or out of the mouth of your offspring , or out of the mouth of your children’s offspring , ” says the Lord , “ from this time forth and forevermore . ”",says,PRES..IND,"“ As for me , this is my covenant with them , ” says the LORD . “ My Spirit , who is on you , and my words that I have put in your mouth will not depart from your mouth , or from the mouths of your children , or from the mouths of their descendants from this time on and forever , ” says the LORD ."
232618,Isaiah 59:21,אָמַ֣ר יְהוָ֔ה ,אָמַ֣ר,εἶπεν,aorist indc,says,PRES..IND,"“ And as for me , this is my covenant with them , ” says the Lord : “ My Spirit that is upon you , and my words that I have put in your mouth , shall not depart out of your mouth , or out of the mouth of your offspring , or out of the mouth of your children’s offspring , ” says the Lord , “ from this time forth and forevermore . ”",says,PRES..IND,"“ As for me , this is my covenant with them , ” says the LORD . “ My Spirit , who is on you , and my words that I have put in your mouth will not depart from your mouth , or from the mouths of your children , or from the mouths of their descendants from this time on and forever , ” says the LORD ."
233727,Isaiah 63:15,הֲמֹ֥ון מֵעֶ֛יךָ וְֽרַחֲמֶ֖יךָ אֵלַ֥י הִתְאַפָּֽקוּ׃ ,הִתְאַפָּֽקוּ,ἀνέσχου,aorist indc,are held back,PRES..IND,"Look down from heaven and see , from your holy and beautiful habitation . Where are your zeal and your might ? The stirring of your inner parts and your compassion are held back from me .",are withheld,PRES..IND,"Look down from heaven and see from your lofty throne , holy and glorious . Where are your zeal and your might ? Your tenderness and compassion are withheld from us ."
